Run,Seed,Best Epoch,Train MAE,Validation MAE,Test MAE,Test RMSE,Correlation,Bias,Low Motion MAE,Medium Motion MAE,High Motion MAE
1,1,10,5.551933765411377,18.72249984741211,18.681177139282227,23.904621124267578,0.2347637265920639,7.174334526062012,17.717418670654297,18.70781135559082,19.617504119873047
2,2,13,4.080788612365723,18.431013107299805,17.816083908081055,22.852750778198242,0.28572407364845276,6.692392349243164,17.108257293701172,17.717260360717773,18.62571144104004
3,3,13,4.252696514129639,18.6550235748291,18.16111946105957,23.202064514160156,0.27873456478118896,7.022566795349121,17.379131317138672,18.184858322143555,18.918655395507812
4,4,11,4.702606201171875,18.475717544555664,18.267229080200195,23.4351749420166,0.2584223747253418,7.067229747772217,17.424039840698242,18.355688095092773,19.019296646118164
5,5,16,3.1591739654541016,18.46451187133789,17.89243507385254,22.89061164855957,0.3007628619670868,7.198561668395996,17.01238441467285,17.934568405151367,18.729084014892578

Mean,,12.6,4.34944,18.549753,18.163609,23.257044,0.27168152,7.0310173,17.328245,18.180038,18.98205
Standard Deviation,,2.302173,0.8759258,0.1301632,0.3438492,0.43354216,0.025648545,0.20289195,0.27900928,0.3820469,0.38735548
