Run,Seed,Best Epoch,Train MAE,Validation MAE,Test MAE,Test RMSE,Correlation,Bias,Low Motion MAE,Medium Motion MAE,High Motion MAE
1,1,65,3.4090797901153564,17.185867309570312,16.16116714477539,20.510318756103516,0.6011878252029419,9.845609664916992,13.800165176391602,15.4390869140625,19.265979766845703
2,2,15,9.91016960144043,18.375226974487305,14.34787654876709,17.71984100341797,0.6634864807128906,7.70831298828125,12.327802658081055,14.933457374572754,15.76474380493164
3,3,20,9.890236854553223,17.039764404296875,14.736800193786621,18.316801071166992,0.5836320519447327,5.305427551269531,12.801671028137207,14.700723648071289,16.709095001220703
4,4,19,9.34648609161377,17.112581253051758,14.771103858947754,18.288930892944336,0.6156579256057739,6.992977619171143,12.563504219055176,14.645994186401367,17.107582092285156
5,5,16,9.013273239135742,18.61878204345703,16.891162872314453,20.32411766052246,0.5873806476593018,10.445939064025879,14.3027925491333,17.062501907348633,19.30304527282715

Mean,,27.0,8.3138485,17.666445,15.381622,19.032001,0.610269,8.059653,13.159187,15.356352,17.630089
Standard Deviation,,21.342445,2.7679205,0.76481473,1.0889859,1.2884504,0.032314904,2.1054096,0.8503738,1.0038786,1.5871103
