Run,Seed,Best Epoch,Train MAE,Validation MAE,Test MAE,Test RMSE,Correlation,Bias,Low Motion MAE,Medium Motion MAE,High Motion MAE
1,1,3,14.357892990112305,18.31452178955078,17.56938362121582,22.550931930541992,0.3207312524318695,8.6516752243042,19.404094696044922,16.800302505493164,16.526905059814453
2,2,3,13.89088249206543,17.9820499420166,17.3564510345459,22.35779571533203,0.33809199929237366,8.969371795654297,19.41944694519043,16.931941986083984,15.730741500854492
3,3,2,15.285497665405273,18.1047306060791,17.57608985900879,22.724319458007812,0.30706918239593506,8.457609176635742,19.44232749938965,16.40203094482422,16.919252395629883
4,4,3,14.08776569366455,18.256723403930664,17.366029739379883,22.419662475585938,0.3124661147594452,8.176185607910156,19.21910285949707,16.43964385986328,16.467227935791016
5,5,2,15.741849899291992,18.20403480529785,17.277114868164062,22.683914184570312,0.2920873463153839,7.142394542694092,18.56559181213379,15.967270851135254,17.337907791137695

Mean,,2.6,14.672777,18.172411,17.429012,22.547325,0.31408918,8.279448,19.210112,16.508238,16.596405
Standard Deviation,,0.5477226,0.80173135,0.1314554,0.13568409,0.15985596,0.017001823,0.69818395,0.37110025,0.3786348,0.5968557
