Run,Seed,Best Epoch,Train MAE,Validation MAE,Test MAE,Test RMSE,Correlation,Bias,Low Motion MAE,Medium Motion MAE,High Motion MAE
1,1,32,9.757883071899414,16.740907669067383,15.506065368652344,19.888671875,0.6633935570716858,11.541536331176758,14.085366249084473,15.897600173950195,16.523439407348633
2,2,32,11.198925018310547,16.504810333251953,13.652411460876465,17.771526336669922,0.6645219326019287,7.867729187011719,12.282896041870117,13.672375679016113,15.001357078552246
3,3,28,10.560295104980469,16.486045837402344,14.60234546661377,18.393339157104492,0.6719756126403809,9.457571029663086,13.206713676452637,15.216007232666016,15.365845680236816
4,4,24,11.904502868652344,15.122450828552246,12.295255661010742,16.642133712768555,0.6793312430381775,5.48811149597168,10.569347381591797,12.583614349365234,13.724128723144531
5,5,31,10.157183647155762,16.17821502685547,14.747599601745605,18.906858444213867,0.6665742993354797,10.156399726867676,13.012696266174316,15.267525672912598,15.946925163269043

Mean,,29.4,10.715758,16.206486,14.160734,18.320507,0.6691593,8.902269,12.631404,14.527425,15.312338
Standard Deviation,,3.435113,0.85150796,0.6381005,1.2336682,1.2172275,0.0065732645,2.3223739,1.3194607,1.360954,1.0596519
