Run,Seed,Best Epoch,Train MAE,Validation MAE,Test MAE,Test RMSE,Correlation,Bias,Low Motion MAE,Medium Motion MAE,High Motion MAE
1,1,21,9.885592460632324,19.680524826049805,17.171977996826172,20.721755981445312,0.5250774621963501,8.59765338897705,14.914616584777832,16.704166412353516,19.911226272583008
2,2,14,11.292896270751953,19.873348236083984,16.249980926513672,19.66017723083496,0.5237634181976318,5.894064426422119,14.678074836730957,15.972498893737793,18.10771942138672
3,3,21,9.34053897857666,19.732257843017578,16.981603622436523,20.674467086791992,0.5233737826347351,9.223220825195312,15.458829879760742,16.977066040039062,18.509056091308594
4,4,18,9.466535568237305,18.5820369720459,16.146160125732422,19.56675148010254,0.5778442025184631,8.598169326782227,13.746106147766113,16.322677612304688,18.3643741607666
5,5,25,9.16813850402832,20.078323364257812,16.204565048217773,19.717205047607422,0.558784008026123,7.720294952392578,14.309886932373047,15.676796913146973,18.642900466918945

Mean,,19.8,9.83074,19.589298,16.55086,20.068073,0.54176855,8.006681,14.621503,16.33064,18.707054
Standard Deviation,,4.0865636,0.8591991,0.58377326,0.48619905,0.5778897,0.025160102,1.2965572,0.6429729,0.5275481,0.7017801
